estimator,portfolio,regime,vaR95,es95,violation_rate,realised_es
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
